PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,DATA_COMPLETENESS_SCORE_NAME,PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PROVINCE_STATE_NAME,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_NEGATIVE_CASES_COUNT,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
10237,MN,A,64413,8/15/2020,Minnesota,140,,57457,8/14/2020 5:00:00 PM,984473,COVID Tracking Project Historical,6,,10927,1691,27,920060,39,5822,,307,690,1745
9445,MO,A,66397,8/15/2020,Missouri,,,,8/15/2020 12:00:00 AM,835441,COVID Tracking Project Historical,11,,10572,,29,769044,0,,113,871,1127,1346
0,MP,D,50,8/15/2020,Northern Mariana Islands,,,29,8/14/2020 4:04:00 AM,12302,COVID Tracking Project Historical,0,,0,,69,12252,0,4,,,0,2
7898,MS,A+,71755,8/15/2020,Mississippi,321,,49836,8/14/2020 7:00:00 PM,519765,COVID Tracking Project Historical,37,,8723,,28,448010,43,4916,176,1126,825,2080
957,MT,C,5659,8/15/2020,Montana,,,4123,8/15/2020 12:00:00 AM,200936,COVID Tracking Project Historical,1,,1075,,30,195277,5,324,,90,118,82
24463,NC,A+,143706,8/15/2020,North Carolina,320,,116969,8/15/2020 12:30:00 PM,1903401,COVID Tracking Project Historical,30,,25999,,37,1759695,0,,,1032,1536,2343
1420,ND,C,8444,8/15/2020,North Dakota,,,7161,8/15/2020 12:00:00 AM,178145,COVID Tracking Project Historical,0,,1542,,38,169701,2,457,,55,122,105
3131,NE,A,29988,8/15/2020,Nebraska,,,22004,8/14/2020 8:23:00 PM,317683,COVID Tracking Project Historical,1,,3459,,31,287695,0,1880,,145,328,361
1702,NH,B,6980,8/15/2020,New Hampshire,,,6264,8/15/2020 9:00:00 AM,183377,COVID Tracking Project Historical,1,,1761,218,33,176397,1,706,,15,59,423
31264,NJ,A+,187442,8/15/2020,New Jersey,99,,33264,8/15/2020 12:00:00 AM,2461383,COVID Tracking Project Historical,7,,31542,,34,2273941,36,22197,43,520,278,15900
8378,NM,B,23160,8/15/2020,New Mexico,,,10182,8/14/2020 5:50:00 PM,659042,COVID Tracking Project Historical,6,,8551,,35,635882,18,2946,,125,173,703
3787,NV,A+,60608,8/15/2020,Nevada,258,,1423,8/15/2020 2:59:00 AM,542850,COVID Tracking Project Historical,24,,4646,,32,482242,0,,166,941,859,1069
87934,NY,A,424901,8/15/2020,New York,120,,74081,8/14/2020 11:59:00 PM,6990504,COVID Tracking Project Historical,12,,88668,,36,6565603,0,89995,58,523,734,25244
21824,OH,A+,107674,8/15/2020,Ohio,318,,86018,8/15/2020 2:00:00 PM,1802350,COVID Tracking Project Historical,40,,22941,2767,39,1694676,82,12210,166,899,1117,3824
10274,OK,A+,47798,8/15/2020,Oklahoma,236,,39907,8/15/2020 12:00:00 AM,754417,COVID Tracking Project Historical,13,,11175,,40,706619,45,3998,,506,901,657
11367,OR,A+,23018,8/15/2020,Oregon,57,,4355,8/15/2020 3:01:00 AM,484879,COVID Tracking Project Historical,1,,11772,,41,461861,0,1863,16,224,405,386
15145,PA,A+,123800,8/15/2020,Pennsylvania,,,96564,8/15/2020 12:00:00 AM,1443684,COVID Tracking Project Historical,20,,15995,,42,1319884,0,,99,572,850,7465
0,PR,B,25695,8/15/2020,Puerto Rico,66,,,8/15/2020 12:00:00 AM,331667,COVID Tracking Project Historical,12,,567,,72,305972,0,,46,406,567,329
1797,RI,A+,20439,8/15/2020,Rhode Island,11,,1972,8/15/2020 12:00:00 PM,425315,COVID Tracking Project Historical,1,,4582,,44,211327,25,2375,2,85,104,1022
7575,SC,A+,105882,8/15/2020,South Carolina,311,,42730,8/14/2020 11:59:00 PM,860400,COVID Tracking Project Historical,56,,8616,,45,754518,0,6852,181,1246,1041,2260
1341,SD,A,10118,8/15/2020,South Dakota,,,8884,8/14/2020 2:00:00 PM,127449,COVID Tracking Project Historical,2,,1435,,46,117331,10,913,,63,94,152
16426,TN,A+,131747,8/15/2020,Tennessee,392,,92100,8/15/2020 3:00:00 PM,1829758,COVID Tracking Project Historical,19,,17715,,47,1698011,88,5813,187,1307,1289,1345
31390,TX,A,528838,8/15/2020,Texas,2306,,393266,8/15/2020 4:00:00 PM,4321676,COVID Tracking Project Historical,238,,39635,,48,3792838,0,,,6481,8245,9840
4739,UT,A+,46321,8/15/2020,Utah,64,,37346,8/15/2020 10:28:00 AM,594901,COVID Tracking Project Historical,3,286,5084,707,49,548580,16,2760,,186,345,363
16056,VA,A+,105750,8/15/2020,Virginia,279,407,13694,8/14/2020 5:00:00 PM,1337240,COVID Tracking Project Historical,11,,16968,,51,1231490,189,14965,167,1271,912,2381
88,VI,C,734,8/15/2020,Virgin Islands,,16,519,8/14/2020 10:56:00 PM,12117,COVID Tracking Project Historical,0,,118,,78,11383,0,,,,30,9
2872,VT,B,1509,8/15/2020,Vermont,,,1332,8/15/2020 12:00:00 AM,110297,COVID Tracking Project Historical,0,,2880,,50,108788,0,,,14,8,58
0,WA,B,66139,8/15/2020,Washington,,,,8/13/2020 2:59:00 AM,1016246,COVID Tracking Project Historical,19,,800,,53,950107,24,6206,58,390,800,1755
10506,WI,A+,69547,8/15/2020,Wisconsin,110,239,55172,8/15/2020 12:00:00 AM,1124666,COVID Tracking Project Historical,13,,11372,954,55,1055119,40,5275,,336,866,1045
5361,WV,B,8457,8/15/2020,West Virginia,54,,6298,8/15/2020 10:00:00 AM,350244,COVID Tracking Project Historical,3,,5544,,54,341787,0,,21,132,183,160
0,WY,B,3227,8/15/2020,Wyoming,,,2659,8/15/2020 12:11:00 PM,60036,COVID Tracking Project Historical,0,,44,,56,56809,0,191,,13,44,30
1757,AK,A,4869,8/14/2020,Alaska,,,1371,8/14/2020 12:00:00 AM,295929,COVID Tracking Project Historical,0,,1876,,02,291060,0,,3,38,119,27
21670,AL,B,106309,8/14/2020,Alabama,,,41523,8/14/2020 11:00:00 AM,824984,COVID Tracking Project Historical,3,716,22422,1305,01,718675,0,12456,,1326,752,1893
4554,AR,A,52392,8/14/2020,Arkansas,,,45446,8/14/2020 2:34:00 PM,588660,COVID Tracking Project Historical,5,466,5180,,05,536268,0,3566,113,466,626,587
0,AS,C,0,8/14/2020,American Somoa,,,,8/5/2020 12:00:00 AM,1396,COVID Tracking Project Historical,0,,0,,60,1396,0,,,,0,0
8470,AZ,A+,191721,8/14/2020,Arizona,473,,27029,8/14/2020 12:00:00 AM,1067575,COVID Tracking Project Historical,40,,9397,,04,875854,12,20515,324,1359,927,4423
103171,CA,B,601075,8/14/2020,California,1850,,,8/14/2020 12:00:00 AM,9556598,COVID Tracking Project Historical,188,,111105,,06,8955523,0,,,6364,7934,10996
7113,CO,A,52219,8/14/2020,Colorado,,,5644,8/13/2020 1:59:00 AM,837290,COVID Tracking Project Historical,7,,12228,,08,561147,15,6700,,265,463,1763
10240,CT,B,50897,8/14/2020,Connecticut,,,8809,8/13/2020 8:30:00 PM,937690,COVID Tracking Project Historical,3,,10355,,09,886793,0,11015,,56,115,4453
6562,DC,A+,13118,8/14/2020,District of Columbia,22,,10416,8/13/2020 12:00:00 AM,236305,COVID Tracking Project Historical,0,,6656,,11,223187,0,,12,84,94,594
1474,DE,A+,16340,8/14/2020,Delaware,10,,8613,8/13/2020 6:00:00 PM,207475,COVID Tracking Project Historical,0,,1847,,10,191135,0,,,38,373,593
32299,FL,A,563285,8/14/2020,Florida,,3718,,8/13/2020 11:59:00 PM,4160565,COVID Tracking Project Historical,229,,38447,,12,3597280,621,33568,,5893,6148,9276
24216,GA,A,231895,8/14/2020,Georgia,,,,8/14/2020 2:50:00 PM,1970053,COVID Tracking Project Historical,35,,27443,3999,13,1738158,237,21818,,2691,3227,4573
391,GU,A,502,8/14/2020,Guam,2,,345,8/14/2020 5:05:00 AM,27096,COVID Tracking Project Historical,0,,416,,66,26594,0,,,8,25,5
3030,HI,C,4312,8/14/2020,Hawaii,29,,1716,8/13/2020 11:15:00 PM,153617,COVID Tracking Project Historical,0,,3030,,15,149305,0,267,22,146,0,40
4828,IA,A+,50932,8/14/2020,Iowa,75,,39879,8/14/2020 12:00:00 AM,540237,COVID Tracking Project Historical,7,,5424,,19,489305,0,,28,258,596,966
3110,ID,A,26631,8/14/2020,Idaho,36,,10089,8/13/2020 7:03:00 PM,218221,COVID Tracking Project Historical,5,,3608,302,16,191590,17,1068,,216,498,251
47277,IL,A,204023,8/14/2020,Illinois,345,,,8/14/2020 12:00:00 AM,3286680,COVID Tracking Project Historical,27,,49573,,17,3082657,0,,126,1612,2296,7932
7452,IN,A+,78632,8/14/2020,Indiana,291,,59073,8/13/2020 11:59:00 PM,886489,COVID Tracking Project Historical,8,,8519,2007,18,807857,123,9801,80,910,1067,3113
7142,KS,A+,33885,8/14/2020,Kansas,98,,1399,8/14/2020 10:00:00 AM,343043,COVID Tracking Project Historical,7,198,8480,554,20,309158,45,2020,33,311,1338,402
12410,KY,B,38298,8/14/2020,Kentucky,147,,9021,8/14/2020 12:00:00 AM,700642,COVID Tracking Project Historical,8,,13022,1296,21,662344,42,4158,,656,612,804
19734,LA,A,136737,8/14/2020,Louisiana,,,103512,8/14/2020 1:00:00 PM,1637012,COVID Tracking Project Historical,28,,21032,,22,1500275,0,,197,1243,1298,4430
21340,MA,A+,122531,8/14/2020,Massachusetts,58,,100486,8/14/2020 10:00:00 AM,1411532,COVID Tracking Project Historical,14,,21552,,25,1289001,19,12150,31,398,212,8804
14464,MD,A,98875,8/14/2020,Maryland,107,,5986,8/14/2020 10:00:00 AM,1110273,COVID Tracking Project Historical,11,,15179,,24,1011398,45,13508,,457,715,3631
2733,ME,A+,4115,8/14/2020,Maine,2,,3604,8/13/2020 11:59:00 PM,205043,COVID Tracking Project Historical,0,,2759,,23,200928,4,399,1,6,26,126
37897,MI,A+,100724,8/14/2020,Michigan,184,,63636,8/14/2020 12:00:00 AM,2261151,COVID Tracking Project Historical,11,,38765,,26,2160427,0,,87,713,868,6566
9720,MN,A,63723,8/14/2020,Minnesota,152,,56659,8/13/2020 5:00:00 PM,973546,COVID Tracking Project Historical,8,,10450,1679,27,909823,41,5783,,313,730,1739
12039,MO,A,65270,8/14/2020,Missouri,,,,8/14/2020 12:00:00 AM,824869,COVID Tracking Project Historical,10,,13512,,29,759599,0,,107,882,1473,1335
0,MP,D,50,8/14/2020,Northern Mariana Islands,,,29,8/14/2020 4:04:00 AM,12302,COVID Tracking Project Historical,0,,1,,69,12252,0,4,,,1,2
1672,MS,A+,70930,8/14/2020,Mississippi,312,,49836,8/13/2020 7:00:00 PM,511042,COVID Tracking Project Historical,32,,2616,,28,440112,26,4873,179,1107,944,2043
1907,MT,C,5541,8/14/2020,Montana,,,4011,8/14/2020 12:00:00 AM,199861,COVID Tracking Project Historical,0,,2041,,30,194320,4,319,,86,134,81
25367,NC,A+,142170,8/14/2020,North Carolina,308,,116969,8/14/2020 11:50:00 AM,1877402,COVID Tracking Project Historical,26,,26713,,37,1735232,0,,,1049,1346,2313
1412,ND,C,8322,8/14/2020,North Dakota,,,7066,8/14/2020 12:00:00 AM,176603,COVID Tracking Project Historical,0,,1563,,38,168281,10,455,,65,151,105
4164,NE,A,29660,8/14/2020,Nebraska,,,21463,8/13/2020 8:15:00 PM,314224,COVID Tracking Project Historical,4,,4580,,31,284564,0,1880,,147,416,360
0,NH,B,6921,8/14/2020,New Hampshire,,,6190,8/13/2020 9:00:00 AM,181616,COVID Tracking Project Historical,0,,0,214,33,174695,0,705,,15,0,422
25581,NJ,A+,187164,8/14/2020,New Jersey,91,,33223,8/14/2020 12:00:00 AM,2429841,COVID Tracking Project Historical,10,,26151,,34,2242677,36,22161,40,514,570,15893
5497,NM,B,22987,8/14/2020,New Mexico,,,9980,8/13/2020 5:30:00 PM,650491,COVID Tracking Project Historical,2,,5668,,35,627504,21,2928,,128,171,697
3961,NV,A+,59749,8/14/2020,Nevada,260,,1423,8/14/2020 2:59:00 AM,538204,COVID Tracking Project Historical,15,,5060,,32,478455,0,,166,948,1099,1045
84728,NY,A,424167,8/14/2020,New York,127,,73997,8/13/2020 11:59:00 PM,6901836,COVID Tracking Project Historical,4,,85455,,36,6477669,0,89995,59,554,727,25232
24971,OH,A+,106557,8/14/2020,Ohio,319,,84904,8/14/2020 2:00:00 PM,1779409,COVID Tracking Project Historical,29,,26102,2755,39,1672852,105,12128,170,925,1131,3784
11176,OK,A+,46897,8/14/2020,Oklahoma,240,,39282,8/14/2020 12:00:00 AM,743242,COVID Tracking Project Historical,6,,11970,,40,696345,52,3953,,567,794,644
5531,OR,A+,22613,8/14/2020,Oregon,57,,4355,8/14/2020 3:01:00 AM,473107,COVID Tracking Project Historical,2,,5844,,41,450494,10,1863,16,224,313,385
15866,PA,A+,122950,8/14/2020,Pennsylvania,,,95901,8/14/2020 12:00:00 AM,1427689,COVID Tracking Project Historical,36,,16695,,42,1304739,0,,103,585,829,7445
0,PR,B,25128,8/14/2020,Puerto Rico,70,,,8/14/2020 12:00:00 AM,331100,COVID Tracking Project Historical,11,,682,,72,305972,0,,49,428,682,317
1296,RI,A+,20335,8/14/2020,Rhode Island,8,,1953,8/14/2020 12:00:00 PM,420733,COVID Tracking Project Historical,2,,4530,,44,209530,9,2350,3,79,95,1021
44824,SC,A+,104841,8/14/2020,South Carolina,327,,42730,8/13/2020 11:59:00 PM,851784,COVID Tracking Project Historical,18,,45756,,45,746943,370,6852,198,1296,932,2204
1117,SD,A,10024,8/14/2020,South Dakota,,,8773,8/13/2020 2:00:00 PM,126014,COVID Tracking Project Historical,2,,1244,,46,115990,7,903,,65,127,150
22375,TN,A+,130458,8/14/2020,Tennessee,398,,91323,8/14/2020 3:00:00 PM,1812043,COVID Tracking Project Historical,13,,24322,,47,1681585,77,5725,176,1264,1947,1326
44260,TX,A,520593,8/14/2020,Texas,2380,,383717,8/14/2020 4:05:00 PM,4282041,COVID Tracking Project Historical,313,,51278,,48,3761448,0,,,6632,7018,9602
4609,UT,A+,45976,8/14/2020,Utah,69,,36679,8/14/2020 10:32:00 AM,589817,COVID Tracking Project Historical,7,285,5161,702,49,543841,23,2744,,190,552,360
12953,VA,A+,104838,8/14/2020,Virginia,268,439,13477,8/13/2020 5:00:00 PM,1320272,COVID Tracking Project Historical,7,,14169,,51,1215434,129,14776,150,1299,1216,2370
327,VI,C,704,8/14/2020,Virgin Islands,,19,502,8/13/2020 11:55:00 PM,11999,COVID Tracking Project Historical,0,,349,,78,11295,0,,,,22,9
1493,VT,B,1501,8/14/2020,Vermont,,,1321,8/14/2020 12:00:00 AM,107417,COVID Tracking Project Historical,0,,1510,,50,105916,0,,,13,17,58
0,WA,B,65339,8/14/2020,Washington,,,,8/13/2020 2:59:00 AM,1015446,COVID Tracking Project Historical,12,,637,,53,950107,45,6182,58,403,637,1736
9418,WI,A+,68681,8/14/2020,Wisconsin,110,239,54181,8/14/2020 12:00:00 AM,1113294,COVID Tracking Project Historical,7,,10477,951,55,1044613,65,5235,,336,1059,1032
5062,WV,B,8274,8/14/2020,West Virginia,52,,6144,8/14/2020 10:00:00 AM,344700,COVID Tracking Project Historical,4,,5185,,54,336426,0,,18,135,123,157
357,WY,B,3183,8/14/2020,Wyoming,,,2641,8/14/2020 6:08:00 PM,59992,COVID Tracking Project Historical,0,,421,,56,56809,2,191,,13,64,30
1376,AK,A,4750,8/13/2020,Alaska,,,1360,8/13/2020 12:00:00 AM,294053,COVID Tracking Project Historical,0,,1471,,02,289303,0,,3,46,95,27
6020,AL,B,105557,8/13/2020,Alabama,,,41523,8/13/2020 11:00:00 AM,802562,COVID Tracking Project Historical,8,707,6791,1292,01,697005,164,12456,,1341,771,1890
9257,AR,A,51766,8/13/2020,Arkansas,,,44602,8/13/2020 2:32:00 PM,583480,COVID Tracking Project Historical,16,466,9909,,05,531714,94,3566,112,473,652,582
0,AS,C,0,8/13/2020,American Somoa,,,,8/5/2020 12:00:00 AM,1396,COVID Tracking Project Historical,0,,0,,60,1396,0,,,,0,0
12599,AZ,A+,190794,8/13/2020,Arizona,497,,26736,8/13/2020 12:00:00 AM,1058178,COVID Tracking Project Historical,36,,13950,,04,867384,682,20503,334,1411,1351,4383
134941,CA,B,593141,8/13/2020,California,1826,,,8/13/2020 12:00:00 AM,9445493,COVID Tracking Project Historical,160,,142026,,06,8852352,0,,,6424,7085,10808
4175,CO,A,51756,8/13/2020,Colorado,,,5630,8/12/2020 1:59:00 AM,825062,COVID Tracking Project Historical,5,,7640,,08,554034,6,6685,,288,315,1756
7976,CT,B,50782,8/13/2020,Connecticut,,,8809,8/12/2020 8:30:00 PM,927335,COVID Tracking Project Historical,0,,8052,,09,876553,95,11015,,63,76,4450
2843,DC,A+,13024,8/13/2020,District of Columbia,24,,10361,8/12/2020 12:00:00 AM,229649,COVID Tracking Project Historical,1,,2908,,11,216625,0,,11,83,65,594
3160,DE,A+,15967,8/13/2020,Delaware,10,,8587,8/12/2020 6:00:00 PM,205628,COVID Tracking Project Historical,2,,3428,,10,189661,0,,,37,268,593
28303,FL,A,557137,8/13/2020,Florida,,3618,,8/12/2020 11:59:00 PM,4122118,COVID Tracking Project Historical,149,,34539,,12,3564981,598,32947,,6325,6236,9047
23353,GA,A,228668,8/13/2020,Georgia,,,,8/13/2020 2:50:00 PM,1942610,COVID Tracking Project Historical,82,,25868,3963,13,1713942,202,21581,,2807,2515,4538
416,GU,A,477,8/13/2020,Guam,1,,343,8/13/2020 2:55:00 AM,26680,COVID Tracking Project Historical,0,,444,,66,26203,0,,,8,28,5
0,HI,C,4312,8/13/2020,Hawaii,33,,1716,8/13/2020 4:28:00 PM,150587,COVID Tracking Project Historical,2,,354,,15,146275,7,267,24,132,354,40
6135,IA,A+,50336,8/13/2020,Iowa,88,,39320,8/13/2020 12:00:00 AM,534813,COVID Tracking Project Historical,8,,6665,,19,484477,0,,25,261,530,959
1831,ID,A,26133,8/13/2020,Idaho,36,,9850,8/12/2020 6:52:00 PM,214613,COVID Tracking Project Historical,0,,2369,296,16,188480,14,1051,,216,538,246
44172,IL,A,201727,8/13/2020,Illinois,383,,,8/13/2020 12:00:00 AM,3237107,COVID Tracking Project Historical,24,,46006,,17,3035380,0,,127,1628,1834,7905
9933,IN,A+,77565,8/13/2020,Indiana,290,,57209,8/12/2020 11:59:00 PM,877970,COVID Tracking Project Historical,19,,10976,1975,18,800405,0,9678,86,991,1043,3105
0,KS,A+,32547,8/13/2020,Kansas,95,,1367,8/12/2020 10:00:00 AM,334563,COVID Tracking Project Historical,0,195,0,548,20,302016,0,1975,29,357,0,395
12104,KY,B,37686,8/13/2020,Kentucky,140,,8965,8/13/2020 12:00:00 AM,687620,COVID Tracking Project Historical,6,,12845,1291,21,649934,25,4116,,658,741,796
16236,LA,A,135439,8/13/2020,Louisiana,,,103512,8/13/2020 1:00:00 PM,1615980,COVID Tracking Project Historical,41,,17371,,22,1480541,0,,196,1281,1135,4402
27560,MA,A+,122319,8/13/2020,Massachusetts,61,,100486,8/13/2020 10:00:00 AM,1389980,COVID Tracking Project Historical,21,,27879,,25,1267661,22,12131,26,401,319,8790
15480,MD,A,98160,8/13/2020,Maryland,111,,5962,8/13/2020 10:00:00 AM,1095094,COVID Tracking Project Historical,8,,16256,,24,996934,115,13463,,470,776,3620
3147,ME,A+,4089,8/13/2020,Maine,5,,3592,8/12/2020 11:59:00 PM,202284,COVID Tracking Project Historical,0,,3166,,23,198195,1,395,3,11,19,126
39378,MI,A+,99856,8/13/2020,Michigan,184,,63636,8/13/2020 12:00:00 AM,2222386,COVID Tracking Project Historical,16,,40545,,26,2122530,0,,90,713,1167,6555
9621,MN,A,62993,8/13/2020,Minnesota,154,,56346,8/12/2020 5:00:00 PM,963096,COVID Tracking Project Historical,7,,10311,1671,27,900103,31,5742,,308,690,1731
11509,MO,B,63797,8/13/2020,Missouri,,,,8/13/2020 12:00:00 AM,811357,COVID Tracking Project Historical,2,,12776,,29,747560,0,,111,882,1267,1325
0,MP,D,49,8/13/2020,Northern Mariana Islands,,,29,8/10/2020 5:54:00 PM,12301,COVID Tracking Project Historical,0,,0,,69,12252,0,4,,,0,2
0,MS,A+,69986,8/13/2020,Mississippi,318,,49836,8/12/2020 7:00:00 PM,508426,COVID Tracking Project Historical,22,,612,,28,438440,53,4847,195,1136,612,2011
1645,MT,C,5407,8/13/2020,Montana,,,3937,8/12/2020 12:00:00 AM,197820,COVID Tracking Project Historical,1,,1784,,30,192413,14,315,,101,139,81
25643,NC,A+,140824,8/13/2020,North Carolina,313,,116969,8/13/2020 12:10:00 PM,1850689,COVID Tracking Project Historical,38,,27406,,37,1709865,0,,,1070,1763,2287
1820,ND,C,8171,8/13/2020,North Dakota,,,6953,8/13/2020 12:00:00 AM,175040,COVID Tracking Project Historical,1,,2021,,38,166869,5,445,,59,201,105
968,NE,A,29244,8/13/2020,Nebraska,,,21463,8/12/2020 8:30:00 PM,309644,COVID Tracking Project Historical,5,,1182,,31,280400,0,1880,,152,214,356
1131,NH,B,6921,8/13/2020,New Hampshire,,,6190,8/13/2020 9:00:00 AM,181616,COVID Tracking Project Historical,2,,1165,214,33,174695,0,705,,15,34,422
27018,NJ,A+,186594,8/13/2020,New Jersey,103,,33223,8/13/2020 12:00:00 AM,2403690,COVID Tracking Project Historical,8,,27674,,34,2217096,29,22125,28,545,656,15883
4313,NM,B,22816,8/13/2020,New Mexico,,,9744,8/12/2020 5:50:00 PM,644823,COVID Tracking Project Historical,2,,4486,,35,622007,10,2907,,119,173,695
5007,NV,A+,58650,8/13/2020,Nevada,260,,1393,8/13/2020 2:59:00 AM,533144,COVID Tracking Project Historical,34,,5609,,32,474494,0,,174,982,602,1030
87163,NY,A,423440,8/13/2020,New York,124,,73907,8/12/2020 11:59:00 PM,6816381,COVID Tracking Project Historical,10,,87900,,36,6392941,0,89995,56,555,737,25228
23749,OH,B,105426,8/13/2020,Ohio,329,,83642,8/13/2020 2:00:00 PM,1753307,COVID Tracking Project Historical,21,,24927,2743,39,1647881,122,12023,178,952,1178,3755
8460,OK,A+,46103,8/13/2020,Oklahoma,253,,38655,8/13/2020 12:00:00 AM,731272,COVID Tracking Project Historical,11,,9165,,40,685169,59,3901,,600,705,638
4443,OR,A+,22300,8/13/2020,Oregon,57,,4282,8/13/2020 3:01:00 AM,467263,COVID Tracking Project Historical,8,,4721,,41,444963,8,1853,22,232,278,383
16897,PA,A+,122121,8/13/2020,Pennsylvania,,,95254,8/13/2020 12:00:00 AM,1410994,COVID Tracking Project Historical,24,,17888,,42,1288873,0,,99,601,991,7409
0,PR,B,24446,8/13/2020,Puerto Rico,80,,,8/13/2020 12:00:00 AM,330418,COVID Tracking Project Historical,11,,372,,72,305972,0,,57,466,372,306
2230,RI,A+,20240,8/13/2020,Rhode Island,10,,1943,8/13/2020 12:00:00 PM,416203,COVID Tracking Project Historical,1,,4154,,44,208234,5,2341,4,80,111,1019
5004,SC,A+,103909,8/13/2020,South Carolina,323,,40837,8/12/2020 11:59:00 PM,806028,COVID Tracking Project Historical,42,,5939,,45,702119,0,6482,201,1322,935,2186
1060,SD,A,9897,8/13/2020,South Dakota,,,8691,8/12/2020 2:00:00 PM,124770,COVID Tracking Project Historical,1,,1142,,46,114873,4,896,,56,82,148
25911,TN,A,128511,8/13/2020,Tennessee,426,,89151,8/13/2020 3:00:00 PM,1787721,COVID Tracking Project Historical,24,,28029,,47,1659210,94,5648,191,1312,2118,1313
117648,TX,A,513575,8/13/2020,Texas,2435,,375760,8/13/2020 5:30:00 PM,4230763,COVID Tracking Project Historical,255,,124403,,48,3717188,0,,,6879,6755,9289
3113,UT,A+,45424,8/13/2020,Utah,74,,35817,8/13/2020 10:46:00 AM,584656,COVID Tracking Project Historical,2,281,3447,694,49,539232,25,2721,,206,334,353
17446,VA,A+,103622,8/13/2020,Virginia,289,390,13389,8/12/2020 5:00:00 PM,1306103,COVID Tracking Project Historical,11,,18547,,51,1202481,119,14647,141,1258,1101,2363
190,VI,C,682,8/13/2020,Virgin Islands,,10,476,8/13/2020 6:27:00 AM,11650,COVID Tracking Project Historical,0,,233,,78,10968,0,,,,43,9
828,VT,B,1484,8/13/2020,Vermont,,,1310,8/13/2020 12:00:00 AM,105907,COVID Tracking Project Historical,0,,834,,50,104423,0,,,14,6,58
0,WA,B,64702,8/13/2020,Washington,,,,8/11/2020 2:59:00 AM,1014809,COVID Tracking Project Historical,8,,551,,53,950107,35,6137,40,395,551,1724
11472,WI,A+,67622,8/13/2020,Wisconsin,111,221,53239,8/13/2020 12:00:00 AM,1102817,COVID Tracking Project Historical,7,,12440,942,55,1035195,45,5170,,364,968,1025
4133,WV,B,8151,8/13/2020,West Virginia,46,,6045,8/13/2020 10:00:00 AM,339515,COVID Tracking Project Historical,0,,4276,,54,331364,0,,16,128,143,153
207,WY,B,3119,8/13/2020,Wyoming,,,2601,8/13/2020 5:51:00 PM,59571,COVID Tracking Project Historical,1,,240,,56,56452,2,189,,14,33,30
1772,AK,A,4655,8/12/2020,Alaska,,,1359,8/12/2020 12:00:00 AM,292582,COVID Tracking Project Historical,1,,1838,,02,287927,0,,3,39,66,27
11147,AL,B,104786,8/12/2020,Alabama,,,41523,8/12/2020 11:00:00 AM,795771,COVID Tracking Project Historical,35,700,12082,1282,01,690985,222,12292,,1386,935,1882
0,AR,A,51114,8/12/2020,Arkansas,,,42998,8/12/2020 2:40:00 PM,573571,COVID Tracking Project Historical,0,455,703,,05,522457,71,3472,113,486,703,566
0,AS,C,0,8/12/2020,American Somoa,,,,7/24/2020 12:00:00 AM,1396,COVID Tracking Project Historical,0,,0,,60,1396,0,,,,0,0
6247,AZ,A+,189443,8/12/2020,Arizona,519,,26418,8/12/2020 12:00:00 AM,1044228,COVID Tracking Project Historical,148,,6953,,04,854785,529,19821,328,1469,706,4347
105543,CA,B,586056,8/12/2020,California,1873,,,8/11/2020 12:00:00 AM,9303467,COVID Tracking Project Historical,180,,117188,,06,8717411,0,,,6647,11645,10648
3716,CO,A,51441,8/12/2020,Colorado,,,5608,8/11/2020 1:59:00 AM,817422,COVID Tracking Project Historical,5,,7146,,08,549859,52,6679,,315,402,1751
7962,CT,B,50706,8/12/2020,Connecticut,,,8721,8/11/2020 8:30:00 PM,919283,COVID Tracking Project Historical,6,,7984,,09,868577,0,10920,,58,22,4450
1929,DC,A+,12959,8/12/2020,District of Columbia,25,,10300,8/11/2020 12:00:00 AM,226741,COVID Tracking Project Historical,0,,1992,,11,213782,0,,11,85,63,593
0,DE,A+,15699,8/12/2020,Delaware,13,,8519,8/11/2020 6:00:00 PM,202200,COVID Tracking Project Historical,0,,0,,10,186501,0,,,35,0,591
30195,FL,A,550901,8/12/2020,Florida,,3529,,8/11/2020 11:59:00 PM,4087579,COVID Tracking Project Historical,213,,38304,,12,3536678,599,32349,,6551,8109,8898
17692,GA,A,226153,8/12/2020,Georgia,,,,8/12/2020 2:50:00 PM,1916742,COVID Tracking Project Historical,105,,21257,3929,13,1690589,348,21379,,2865,3565,4456
